,President (P),State of Birth (P),Term (P),Birthdate (P),Age of Inauguration (P),Previous Occupation (P),Party (P),Vice President
0,"Washington, George",Virginia,1789–1797,2/22/1732,57,"Planter, land surveyor",No Party Designation,John Adams
1,"Adams, John",Massachusetts,1797–1801,10/30/1735,61,"Lawyer, farmer",Federalist,Thomas Jefferson
2,"Jefferson, Thomas",Virginia,1801–1809,4/13/1743,57,"Planter, lawyer, land surveyor, architect",Democratic-Republican,"Aaron Burr,George Clinton"
3,"Madison, James",Virginia,1809–1817,3/16/1751,57,Planter,Democratic-Republican,"George Clinton,Elbridge Gerry"
4,"Monroe, James",Virginia,1817–1825,4/28/1758,58,"Planter, lawyer",Democratic-Republican,Daniel D. Tompkins
5,"Adams, John Quincy",Massachusetts,1825–1829,7/11/1767,57,Lawyer,Democratic-Republican,John C. Calhoun
6,"Jackson, Andrew",South Carolina,1829–1837,3/15/1767,61,"Lawyer, military officer",Democratic,"John C. Calhoun,Martin Van Buren"
7,"Van Buren, Martin",New York,1837–1841,12/5/1782,54,Lawyer,Democratic,Richard M. Johnson
8,"Harrison, William Henry",Virginia,1841-1841,2/9/1773,68,Military,Whig,John Tyler
9,"Tyler, John",Virginia,1841–1845,3/29/1790,51,Lawyer,Whig,None
10,"Polk, James Knox",North Carolina,1845–1849,11/2/1795,49,"Lawyer, planter",Democratic,George M. Dallas
11,"Taylor, Zachary",Virginia,1849–1850,11/24/1784,64,Military,Whig,Millard Fillmore
12,"Fillmore, Millard",New York,1850–1853,1/7/1800,50,Lawyer,Whig,None
13,"Pierce, Franklin",New Hampshire,1853–1857,11/23/1804,48,Lawyer,Democratic,William R. King
14,"Buchanan, James",Pennsylvania,1857–1861,4/23/1791,65,Lawyer,Democratic,John C. Breckinridge
15,"Lincoln, Abraham",Kentucky,1861–1865,2/12/1809,52,"Lawyer, land surveyor",Union,"Hannibal Hamlin,Andrew Johnson"
16,"Johnson, Andrew",North Carolina,1865–1869,12/29/1808,56,Tailor,Union,None
